"","location","recv","TagCode","day","count","beacon","recv_start"
"1","BeniciaRT_01",17128,"FA2A",2018-04-26,1389,"FA2A",2018-04-25 16:54:23
"2","BeniciaRT_01",17128,"FA2A",2018-04-27,1381,"FA2A",2018-04-25 16:54:23
"3","BeniciaRT_01",17128,"FA2A",2018-04-28,1389,"FA2A",2018-04-25 16:54:23
"4","BeniciaRT_01",17128,"FA2A",2018-04-29,1385,"FA2A",2018-04-25 16:54:23
"5","BeniciaRT_01",17128,"FA2A",2018-04-30,1390,"FA2A",2018-04-25 16:54:23
"6","BeniciaRT_01",17128,"FA2A",2018-05-01,1391,"FA2A",2018-04-25 16:54:23
"7","BeniciaRT_01",17128,"FA2A",2018-05-02,1379,"FA2A",2018-04-25 16:54:23
"8","BeniciaRT_01",17128,"FA2A",2018-05-03,1290,"FA2A",2018-04-25 16:54:23
"9","BeniciaRT_01",17128,"FA2A",2018-05-04,1352,"FA2A",2018-04-25 16:54:23
"10","BeniciaRT_01",17128,"FA2A",2018-05-05,1331,"FA2A",2018-04-25 16:54:23
"11","BeniciaRT_01",17128,"FA2A",2018-05-06,1325,"FA2A",2018-04-25 16:54:23
"12","BeniciaRT_01",17128,"FA2A",2018-05-07,1349,"FA2A",2018-04-25 16:54:23
"13","BeniciaRT_01",17128,"FA2A",2018-05-08,1333,"FA2A",2018-04-25 16:54:23
"14","BeniciaRT_01",17128,"FA2A",2018-05-09,1333,"FA2A",2018-04-25 16:54:23
"15","BeniciaRT_01",17128,"FA2A",2018-05-10,1368,"FA2A",2018-04-25 16:54:23
"16","BeniciaRT_01",17128,"FA2A",2018-05-11,1361,"FA2A",2018-04-25 16:54:23
"17","BeniciaRT_01",17128,"FA2A",2018-05-12,1359,"FA2A",2018-04-25 16:54:23
"18","BeniciaRT_01",17128,"FA2A",2018-05-13,1345,"FA2A",2018-04-25 16:54:23
"19","BeniciaRT_01",17128,"FA2A",2018-05-14,1368,"FA2A",2018-04-25 16:54:23
"20","BeniciaRT_01",17128,"FA2A",2018-05-15,1360,"FA2A",2018-04-25 16:54:23
"21","BeniciaRT_01",17128,"FA2A",2018-05-16,1334,"FA2A",2018-04-25 16:54:23
"22","BeniciaRT_01",17128,"FA2A",2018-05-17,1338,"FA2A",2018-04-25 16:54:23
"23","BeniciaRT_01",17128,"FA2A",2018-05-18,1336,"FA2A",2018-04-25 16:54:23
"24","BeniciaRT_01",17128,"FA2A",2018-05-19,1331,"FA2A",2018-04-25 16:54:23
"25","BeniciaRT_01",17128,"FA2A",2018-05-20,1372,"FA2A",2018-04-25 16:54:23
"26","BeniciaRT_01",17128,"FA2A",2018-05-21,1354,"FA2A",2018-04-25 16:54:23
"27","BeniciaRT_01",17128,"FA2A",2018-05-22,1330,"FA2A",2018-04-25 16:54:23
"28","BeniciaRT_01",17128,"FA2A",2018-05-23,1339,"FA2A",2018-04-25 16:54:23
