Date,Flow,Year,month
4/1/2000,12143,2000,4
4/2/2000,11587,2000,4
4/3/2000,11217,2000,4
4/4/2000,10883,2000,4
4/5/2000,10716,2000,4
4/6/2000,10550,2000,4
4/7/2000,10378,2000,4
4/8/2000,10067,2000,4
4/9/2000,9879,2000,4
4/10/2000,10437,2000,4
4/11/2000,11019,2000,4
4/12/2000,11093,2000,4
4/13/2000,11045,2000,4
4/14/2000,11234,2000,4
4/15/2000,11778,2000,4
4/16/2000,11615,2000,4
4/17/2000,11456,2000,4
4/18/2000,13877,2000,4
4/19/2000,18845,2000,4
4/20/2000,18295,2000,4
4/21/2000,16133,2000,4
4/22/2000,14501,2000,4
4/23/2000,13616,2000,4
4/24/2000,13160,2000,4
4/25/2000,12511,2000,4
4/26/2000,11728,2000,4
4/27/2000,10898,2000,4
4/28/2000,10169,2000,4
4/29/2000,9749,2000,4
4/30/2000,9756,2000,4
5/1/2000,9970,2000,5
5/2/2000,9775,2000,5
5/3/2000,9948,2000,5
5/4/2000,10677,2000,5
5/5/2000,10671,2000,5
5/6/2000,10596,2000,5
5/7/2000,10960,2000,5
5/8/2000,11066,2000,5
5/9/2000,11022,2000,5
5/10/2000,10708,2000,5
5/11/2000,9645,2000,5
5/12/2000,8838,2000,5
5/13/2000,8053,2000,5
5/14/2000,7586,2000,5
5/15/2000,7768,2000,5
5/16/2000,8068,2000,5
5/17/2000,9601,2000,5
5/18/2000,9756,2000,5
5/19/2000,8893,2000,5
5/20/2000,8724,2000,5
5/21/2000,9645,2000,5
5/22/2000,10564,2000,5
5/23/2000,10629,2000,5
5/24/2000,10461,2000,5
5/25/2000,10201,2000,5
5/26/2000,10462,2000,5
5/27/2000,9541,2000,5
5/28/2000,9340,2000,5
5/29/2000,9424,2000,5
5/30/2000,9415,2000,5
5/31/2000,9169,2000,5
4/1/2001,8713,2001,4
4/2/2001,8491,2001,4
4/3/2001,8101,2001,4
4/4/2001,7882,2001,4
4/5/2001,8196,2001,4
4/6/2001,8395,2001,4
4/7/2001,8476,2001,4
4/8/2001,8824,2001,4
4/9/2001,9226,2001,4
4/10/2001,8865,2001,4
4/11/2001,8346,2001,4
4/12/2001,8066,2001,4
4/13/2001,7851,2001,4
4/14/2001,7636,2001,4
4/15/2001,7387,2001,4
4/16/2001,7042,2001,4
4/17/2001,6595,2001,4
4/18/2001,6207,2001,4
4/19/2001,5741,2001,4
4/20/2001,5744,2001,4
4/21/2001,6277,2001,4
4/22/2001,6882,2001,4
4/23/2001,7028,2001,4
4/24/2001,6764,2001,4
4/25/2001,6352,2001,4
4/26/2001,6341,2001,4
4/27/2001,6334,2001,4
4/28/2001,6171,2001,4
4/29/2001,5963,2001,4
4/30/2001,5558,2001,4
5/1/2001,5319,2001,5
5/2/2001,5176,2001,5
5/3/2001,5556,2001,5
5/4/2001,5590,2001,5
5/7/2001,4733,2001,5
