recv,location,TagCode,day,count
157002,TowerBr2,FA5A,2018-11-02,290
157002,TowerBr2,FA5A,2018-11-03,1266
157002,TowerBr2,FA5A,2018-11-04,1354
157002,TowerBr2,FA5A,2018-11-05,1397
157002,TowerBr2,FA5A,2018-11-06,1391
157002,TowerBr2,FA5A,2018-11-07,1392
157002,TowerBr2,FA5A,2018-11-08,1390
157002,TowerBr2,FADA,2018-11-02,197
157002,TowerBr2,FADA,2018-11-03,1081
157002,TowerBr2,FADA,2018-11-04,1142
157002,TowerBr2,FADA,2018-11-05,1187
157002,TowerBr2,FADA,2018-11-06,1144
157002,TowerBr2,FADA,2018-11-07,1126
157002,TowerBr2,FADA,2018-11-08,1118
157002,TowerBr2,FCAA,2018-11-02,54
157002,TowerBr2,FCAA,2018-11-03,252
157002,TowerBr2,FCAA,2018-11-04,175
157002,TowerBr2,FCAA,2018-11-05,220
157002,TowerBr2,FCAA,2018-11-06,283
157002,TowerBr2,FCAA,2018-11-07,280
157002,TowerBr2,FCAA,2018-11-08,607
157003,I80-50_Br2,F96A,2018-11-02,292
157003,I80-50_Br2,F96A,2018-11-03,1394
157003,I80-50_Br2,F96A,2018-11-04,1396
157003,I80-50_Br2,F96A,2018-11-05,1278
157003,I80-50_Br2,F96A,2018-11-06,1396
157003,I80-50_Br2,F96A,2018-11-07,1394
157003,I80-50_Br2,F96A,2018-11-08,1364
157003,I80-50_Br2,FA55,2018-11-02,182
157003,I80-50_Br2,FA55,2018-11-03,829
157003,I80-50_Br2,FA55,2018-11-04,1030
157003,I80-50_Br2,FA55,2018-11-05,884
157003,I80-50_Br2,FA55,2018-11-06,730
157003,I80-50_Br2,FA55,2018-11-07,734
157003,I80-50_Br2,FA55,2018-11-08,877
157003,I80-50_Br2,FA56,2018-11-02,12
157003,I80-50_Br2,FA56,2018-11-03,214
157003,I80-50_Br2,FA56,2018-11-04,168
157003,I80-50_Br2,FA56,2018-11-05,90
157003,I80-50_Br2,FA56,2018-11-06,59
157003,I80-50_Br2,FA56,2018-11-07,59
157003,I80-50_Br2,FA56,2018-11-08,105
157003,I80-50_Br2,FA6A,2018-11-03,21
157003,I80-50_Br2,FA6A,2018-11-04,13
157003,I80-50_Br2,FA6A,2018-11-05,4
157003,I80-50_Br2,FA6A,2018-11-07,2
157003,I80-50_Br2,FA6A,2018-11-08,12
157003,I80-50_Br2,FAD5,2018-11-03,1
157003,I80-50_Br2,FB52,2018-11-02,130
157003,I80-50_Br2,FB52,2018-11-03,887
157003,I80-50_Br2,FB52,2018-11-04,856
157003,I80-50_Br2,FB52,2018-11-05,801
157003,I80-50_Br2,FB52,2018-11-06,864
157003,I80-50_Br2,FB52,2018-11-07,830
157003,I80-50_Br2,FB52,2018-11-08,826
157003,I80-50_Br2,FB56,2018-11-08,1
157004,TowerBr1,FA5A,2018-11-02,280
157004,TowerBr1,FA5A,2018-11-03,1368
157004,TowerBr1,FA5A,2018-11-04,1389
157004,TowerBr1,FA5A,2018-11-05,1402
157004,TowerBr1,FA5A,2018-11-06,1400
157004,TowerBr1,FA5A,2018-11-07,1397
157004,TowerBr1,FA5A,2018-11-08,1365
157004,TowerBr1,FADA,2018-11-02,100
157004,TowerBr1,FADA,2018-11-03,473
157004,TowerBr1,FADA,2018-11-04,447
157004,TowerBr1,FADA,2018-11-05,861
157004,TowerBr1,FADA,2018-11-06,830
157004,TowerBr1,FADA,2018-11-07,934
157004,TowerBr1,FADA,2018-11-08,887
157004,TowerBr1,FB56,2018-11-04,1
157004,TowerBr1,FCAA,2018-11-02,280
157004,TowerBr1,FCAA,2018-11-03,1399
157004,TowerBr1,FCAA,2018-11-04,1399
157004,TowerBr1,FCAA,2018-11-05,1398
157004,TowerBr1,FCAA,2018-11-06,1398
157004,TowerBr1,FCAA,2018-11-07,1397
157004,TowerBr1,FCAA,2018-11-08,1366
157005,I80-50_Br3,F96A,2018-11-02,37
157005,I80-50_Br3,F96A,2018-11-03,297
157005,I80-50_Br3,F96A,2018-11-04,308
157005,I80-50_Br3,F96A,2018-11-05,378
157005,I80-50_Br3,F96A,2018-11-06,407
157005,I80-50_Br3,F96A,2018-11-07,401
157005,I80-50_Br3,F96A,2018-11-08,297
157005,I80-50_Br3,FA55,2018-11-02,284
157005,I80-50_Br3,FA55,2018-11-03,1361
157005,I80-50_Br3,FA55,2018-11-04,1362
157005,I80-50_Br3,FA55,2018-11-05,1360
157005,I80-50_Br3,FA55,2018-11-06,1361
157005,I80-50_Br3,FA55,2018-11-07,1360
157005,I80-50_Br3,FA55,2018-11-08,1296
157005,I80-50_Br3,FA56,2018-11-02,22
157005,I80-50_Br3,FA56,2018-11-03,266
157005,I80-50_Br3,FA56,2018-11-04,234
157005,I80-50_Br3,FA56,2018-11-05,134
157005,I80-50_Br3,FA56,2018-11-06,92
157005,I80-50_Br3,FA56,2018-11-07,84
157005,I80-50_Br3,FA56,2018-11-08,205
157005,I80-50_Br3,FA5A,2018-11-06,1
157005,I80-50_Br3,FA6A,2018-11-08,1
157005,I80-50_Br3,FB52,2018-11-02,289
157005,I80-50_Br3,FB52,2018-11-03,1383
157005,I80-50_Br3,FB52,2018-11-04,1383
157005,I80-50_Br3,FB52,2018-11-05,1383
157005,I80-50_Br3,FB52,2018-11-06,1382
157005,I80-50_Br3,FB52,2018-11-07,1381
157005,I80-50_Br3,FB52,2018-11-08,1321
17124,BlGeorg_RT2.1,006D,2018-11-04,1
17124,BlGeorg_RT2.1,FA4A,2018-11-02,245
17124,BlGeorg_RT2.1,FA4A,2018-11-03,1223
17124,BlGeorg_RT2.1,FA4A,2018-11-04,1209
17124,BlGeorg_RT2.1,FA4A,2018-11-05,1240
17124,BlGeorg_RT2.1,FA4A,2018-11-06,1228
17124,BlGeorg_RT2.1,FA4A,2018-11-07,1207
17124,BlGeorg_RT2.1,FA4A,2018-11-08,1195
17124,BlGeorg_RT2.1,FA56,2018-11-03,1
17124,BlGeorg_RT2.1,FAB5,2018-11-07,1
17124,BlGeorg_RT2.1,FAD2,2018-11-05,1
17124,BlGeorg_RT2.1,FAD5,2018-11-02,61
17124,BlGeorg_RT2.1,FAD5,2018-11-03,412
17124,BlGeorg_RT2.1,FAD5,2018-11-04,380
17124,BlGeorg_RT2.1,FAD5,2018-11-05,419
17124,BlGeorg_RT2.1,FAD5,2018-11-06,428
17124,BlGeorg_RT2.1,FAD5,2018-11-07,436
17124,BlGeorg_RT2.1,FAD5,2018-11-08,650
17125,BeniciaRT_14,FA6A,2018-11-07,1
17125,BeniciaRT_14,FA6A,2018-11-08,4
17125,BeniciaRT_14,FA8A,2018-11-02,282
17125,BeniciaRT_14,FA8A,2018-11-03,1349
17125,BeniciaRT_14,FA8A,2018-11-04,1347
17125,BeniciaRT_14,FA8A,2018-11-05,1345
17125,BeniciaRT_14,FA8A,2018-11-06,1348
17125,BeniciaRT_14,FA8A,2018-11-07,1346
17125,BeniciaRT_14,FA8A,2018-11-08,1345
17125,BeniciaRT_14,FAA4,2018-11-02,29
17125,BeniciaRT_14,FAA4,2018-11-03,235
17125,BeniciaRT_14,FAA4,2018-11-04,162
17125,BeniciaRT_14,FAA4,2018-11-05,139
17125,BeniciaRT_14,FAA4,2018-11-06,195
17125,BeniciaRT_14,FAA4,2018-11-07,182
17125,BeniciaRT_14,FAA4,2018-11-08,134
17126,BeniciaRT_11,F9AA,2018-11-02,92
17126,BeniciaRT_11,F9AA,2018-11-03,288
17126,BeniciaRT_11,F9AA,2018-11-04,290
17126,BeniciaRT_11,F9AA,2018-11-05,251
17126,BeniciaRT_11,F9AA,2018-11-06,249
17126,BeniciaRT_11,F9AA,2018-11-07,253
17126,BeniciaRT_11,F9AA,2018-11-08,273
